id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
00048242814,Amazon IAD10,VA,Loudoun County,112726.0,39.0216455535984,-77.43287558139869,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00048242816,Amazon IAD32,VA,Loudoun County,35700.0,39.021569324291804,-77.43479445422666,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00052059176,NTT RagingWire Data Center,OR,Washington County,260339.0,45.549583992290586,-122.93739288182853,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00052094269,Centersquare IAD1-B,VA,Loudoun County,79070.0,39.02390730425034,-77.41518975933123,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00052094270,Centersquare IAD1-A,VA,Loudoun County,89830.0,39.023321212075864,-77.4132010228583,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00052094294,Centersquare IAD1-C,VA,Loudoun County,135383.0,39.02475554990798,-77.41220365945969,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00052227492,Flexential Minneapolis - Chaska,MN,Carver County,135505.0,44.851592871190945,-93.59883127427163,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00052958203,Pearl Plaza Office Building,CO,Denver County,48787.0,39.74523035286353,-104.97933224935198,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054119665,Csquare SFO2,CA,Santa Clara County,146098.0,37.39757919675742,-121.98086935105141,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054119667,Csquare SFO2,CA,Santa Clara County,115693.0,37.39861833320087,-121.98111165280665,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054121151,QTS Santa Clara 1,CA,Santa Clara County,32173.0,37.39398377756207,-121.97830969442313,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054173383,CoreSite SV3,CA,Santa Clara County,57809.0,37.37514209318246,-121.97170937322579,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054173753,CoreSite SV6,CA,Santa Clara County,61065.0,37.37630188023717,-121.97208379973041,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054173755,CoreSite SV8,CA,Santa Clara County,41609.0,37.37738265750685,-121.97184005109759,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054383196,CoreSite SV5,CA,Santa Clara County,50856.0,37.37519609854625,-121.97068979280725,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00054383197,CoreSite SV9,CA,Santa Clara County,60403.0,37.37555851580601,-121.9696099700251,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00058708529,QTS Santa Clara 2,CA,Santa Clara County,36808.0,37.392721680154914,-121.97839685451906,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00059294476,STACK NVA01A - Northern Virginia,VA,Loudoun County,179330.0,39.00469915120877,-77.44176406797281,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00063619642,Minnesota Gateway Data Center,MN,Hennepin County,87697.0,44.97130185223087,-93.25465186805063,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00069827429,IBM Building,NY,Albany County,15355.0,42.64935307487593,-73.7527452452726,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00071187940,,MI,Wayne County,24933.0,42.32626638236376,-83.07698605760793,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00079056848,,NH,Strafford County,30553.0,43.14361852296161,-70.95247263069143,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00079158387,VA3,VA,Fairfax County,96241.0,38.94846385493133,-77.32729535242555,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00079159494,IAD1,VA,Fairfax County,19325.0,38.94881628378597,-77.32940997255484,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00079298926,CoreSite Reston Campus VA1,VA,Fairfax County,138035.0,38.95058588448764,-77.36454759512179,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00079818498,CoreSite Reston VA3,VA,Fairfax County,249707.0,38.94846756695561,-77.37236980053557,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00087058670,,NH,Rockingham County,9316.0,43.076119257829404,-70.80804278020655,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00089784186,Insurance Exchange Building,CO,Denver County,19807.0,39.74557178496544,-104.99569107454519,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00093210344,Lincoln Rackhouse Maryland,MD,Montgomery County,146301.0,39.05856287562289,-76.9643217094945,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00095349317,CyrusOne Cincinnati-Lebanon,OH,Warren County,198403.0,39.389018744445785,-84.22187533686325,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00095782052,Equinix NY7 Data Center,NJ,Hudson County,68650.0,40.79686366512243,-74.03114084308724,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00099813512,Equinix SV4,CA,Santa Clara County,122369.0,37.41456431406775,-122.01457953832227,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00102129663,H5 Data Centers San Antonio,TX,Bexar County,20898.0,29.429371203549056,-98.4869063933119,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
